sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active,wave,project,asset_id,access_mode,physical_workspace,physical_item
ReferenceMaster_Enh.ForecastHorizon,ReferenceMaster_Enh.v_ForecastHorizon,ReferenceMaster_Enh,ForecastHorizon,ReferenceMaster,overwrite,monthly,1,,"[""ProcessingSeed.ForecastHorizon""]",True,,forecast_accuracy,ReferenceMaster_Enh.ForecastHorizon,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.ItemMaster,ReferenceMaster_Enh.v_ItemMaster,ReferenceMaster_Enh,ItemMaster,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.MasterData_DW.DimItemMaster""]",True,,forecast_accuracy,ReferenceMaster_Enh.ItemMaster,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.OrderType,ReferenceMaster_Enh.v_OrderType,ReferenceMaster_Enh,OrderType,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.AAORDTYP""]",True,,forecast_accuracy,ReferenceMaster_Enh.OrderType,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
ReferenceMaster_Enh.Warehouse,ReferenceMaster_Enh.v_Warehouse,ReferenceMaster_Enh,Warehouse,ReferenceMaster,overwrite,daily,1,,"[""Enterprise_Lakehouse.CustomerOrders_AFI.WarehouseMaster""]",True,,forecast_accuracy,ReferenceMaster_Enh.Warehouse,DirectShortcut,Enterprise SupplyChain-Dev,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.AwdHelper,InventoryHistory_Enh.v_AwdHelper,InventoryHistory_Enh,AwdHelper,DomainSilver,overwrite,daily,1,"InventoryHistory_Enh.InventorySnapshotWeekly,InventoryHistory_Enh.ForecastSnapshotWeekly,SalesHistory_Enh.v_InvoiceDetailLineLevel","[""Enterprise_Lakehouse.ItemMaster_AFI.ITEMBL"",""InventoryHistory_Enh.InventorySnapshotWeekly"",""InventoryHistory_Enh.ForecastSnapshotWeekly"",""SalesHistory_Enh.v_InvoiceDetailLineLevel""]",True,2,inventory_health,InventoryHistory_Enh.AwdHelper,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.ForecastSnapshotWeekly,InventoryHistory_Enh.v_ForecastSnapshotWeekly,InventoryHistory_Enh,ForecastSnapshotWeekly,DomainSilver,overwrite,weekly,1,,"[""Staging_Wrk.DemandForecastSnapshotDaily""]",True,0,inventory_health,InventoryHistory_Enh.ForecastSnapshotWeekly,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.HoldingTransferSnapshotDaily,InventoryHistory_Enh.v_HoldingTransferSnapshotDaily,InventoryHistory_Enh,HoldingTransferSnapshotDaily,DomainSilver,datekey,daily,1,InventoryHistory_Enh.HoldingTransfer,"[""InventoryHistory_Enh.HoldingTransfer""]",True,1,inventory_health,InventoryHistory_Enh.HoldingTransferSnapshotDaily,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.InventorySnapshotWeekly,InventoryHistory_Enh.v_InventorySnapshotWeekly,InventoryHistory_Enh,InventorySnapshotWeekly,DomainSilver,overwrite,weekly,1,InventoryHistory_Enh.ItemBalanceHistorical,"[""Enterprise_Lakehouse.SupplyChain_Enh_1.DemandInventorySnapshotDaily""]",True,1,inventory_health,InventoryHistory_Enh.InventorySnapshotWeekly,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.InventorySnapshotWeeklyFactBase,InventoryHistory_Enh.v_InventorySnapshotWeeklyFactBase,InventoryHistory_Enh,InventorySnapshotWeeklyFactBase,DomainSilver,daterange,weekly,1,InventoryHistory_Enh.InventorySnapshotWeekly,"[""InventoryHistory_Enh.InventorySnapshotWeekly""]",True,2,inventory_health,InventoryHistory_Enh.InventorySnapshotWeeklyFactBase,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
InventoryHistory_Enh.ItemBalanceHistorical,InventoryHistory_Enh.v_ItemBalanceHistorical,InventoryHistory_Enh,ItemBalanceHistorical,DomainSilver,overwrite,weekly,1,,"[""SupplyChain_Lakehouse.dbo.itembalance""]",True,0,inventory_health,InventoryHistory_Enh.ItemBalanceHistorical,WarehouseTransform,c8d9fc83-18b6-4e1d-8264-0b49eed36fe0,SupplyChain_Processing_Warehouse
